Unnamed: 0,SbjNum,Latitude,Longitude,Q21.Income.Food.O1,Q21.Income.SchoolFees.O2,Q21.Income.MedicalBills.O3,Q21.Income.Clothes.O4,Q21.Income.Energy.O5,Q21.Income.Other.O6,Q21.Income.Other.O6.Text,Q29.Income,Q33.CashCropSold,Q34.CashCropUsed,Q35.CashCropSavedForSeed,Q36.CashCropLost,Q38.CashCropEarnings,Q39.CashCropPx,Q40.CostOfProduction,Q41.AverageYear,Q42.ProductionHigherLower,Q56.ProportionCropsSold,Q57.ProportionCropsUsed,Q58.ProportionCropsSavedSeed,Q59.ProportionCropsLost,Q61.CropEarning,Q62.CropSalePx,Q63.ProductionCost,Q64.AverageYear,Q65.ProductionHigherLower,Q67.RearingLivestock,Q69.AmountEarnedCattle,Q70.NumberCattleSold,Q71.PxPerCattle,Q72.TotalEarningCattle,Q73.AmountEarnedGoats,Q74.NumberGoatsSold,Q75.PxPerGoat,Q76.TotalEarningGoats,Q77.AmountEarnedPigs,Q78.NumberPigsSold,Q79.PxPerPig,Q80.TotalEarningPigs,Q81.AmountEarnedChickens,Q82.NumberChickensSold,Q83.PxPerChicken,Q84.TotalEarningsChickens,Q85.RearOtherAnimal,Q86.OtherAnimalType,Q87.OtherAnimalPx,Q88.TotalEarningOtherAnimal,Q89.MainSourcesIncome.1st,Q89.MainSourcesIncome.2nd,Q89.MainSourcesIncome.3rd,Q89.MainSourcesIncome.4th,Q89.MainSourcesIncome.5th,Q89.MainSourcesIncome.TeaIncome,Q89.MainSourcesIncome.CoffeeIncome,Q89.MainSourcesIncome.BananaIncome,Q89.MainSourcesIncome.MaizeIncome,Q89.MainSourcesIncome.HydroponicsIncome,Q89.MainSourcesIncome.BeansIncome,Q89.MainSourcesIncome.LivestockIncome,Q89.MainSourcesIncome.BeekeepingIncome,Q89.MainSourcesIncome.TreeIncome,Q89.MainSourcesIncome.FishIncome,Q89.MainSourcesIncome.HandicraftIncome,Q89.MainSourcesIncome.KitchenGardenIncome,Q89.MainSourcesIncome.SalaryJobIncome,Q89.MainSourcesIncome.CasualLaborIncome,Q89.MainSourcesIncome.RemitIncome,Q89.MainSourcesIncome.GoatIncome,Q89.MainSourcesIncome.PigIncome,Q89.MainSourcesIncome.CattleIncome,Q89.MainSourcesIncome.ChickenIncome,Q89.MainSourcesIncome.Other,Q104.GoodAgPracticeAware.O1,Q104.GoodAgPracticeAware.O2,Q104.GoodAgPracticeAware.O3,Q104.GoodAgPracticeAware.O4,Q104.GoodAgPracticeAware.O5,Q104.GoodAgPracticeAware.O6,Q104.GoodAgPracticeAware.O7,Q104.GoodAgPracticeAware.O8,Q104.GoodAgPracticeAware.O9,Q104.GoodAgPracticeAware.O10,Q104.GoodAgPracticeAware.O11,Q104.GoodAgPracticeAware.O12,Q104.GoodAgPracticeAware.O13,Q104.GoodAgPracticeAware.O14.Text,Q105.GoodAgPracticeTrained.O1,Q105.GoodAgPracticeTrained.O2,Q105.GoodAgPracticeTrained.O3,Q105.GoodAgPracticeTrained.O4,Q105.GoodAgPracticeTrained.O5,Q105.GoodAgPracticeTrained.O6,Q105.GoodAgPracticeTrained.O7,Q105.GoodAgPracticeTrained.O8,Q105.GoodAgPracticeTrained.O9,Q105.GoodAgPracticeTrained.O10,Q105.GoodAgPracticeTrained.O11,Q105.GoodAgPracticeTrained.O12,Q105.GoodAgPracticeTrained.O13,Q105.GoodAgPracticeTrained.O14,Q105.GoodAgPracticeTrained.O15.Text,Q106.ActiviesPracticed.O1,Q106.ActiviesPracticed.O2,Q106.ActiviesPracticed.O3,Q106.ActiviesPracticed.O4,Q106.ActiviesPracticed.O5,Q106.ActiviesPracticed.O6,Q106.ActiviesPracticed.O7,Q106.ActiviesPracticed.O8,Q106.ActiviesPracticed.O9,Q106.ActiviesPracticed.O10,Q106.ActiviesPracticed.O11,Q106.ActiviesPracticed.O12,Q106.ActiviesPracticed.O13,Q106.ActiviesPracticed.O14.Text,Q108.ChangesInPractice,Q109.WhatChange,Q114.NewBusinessStarted,Q115.WhatNewBusiness,Q117.FromWhereLearned.O1,Q117.FromWhereLearned.O2,Q117.FromWhereLearned.O3,Q117.FromWhereLearned.O4,Q117.FromWhereLearned.O5,Q117.FromWhereLearned.O6,Q117.FromWhereLearned.O7.Text,Q118.CostStarting,Q119.DifferenceToIncome,Q120.HowContributeIncome,Q121.OverallIncomeChange,Q122.WhyIncomeChanged,Q21.Income.Other.O6.Text.Tags
10,23969390,0.678246861,30.4604082,1,2,-2,-2,-2,-2,,5,100,0,0,5,54m,300,54m,1,4,2,2,1,1,600000,600per kg,600per kg,1,2,1,600000,10L everyday,,600000,,,,,,,,,,,,,-1,-1,-1,-1,1,2,7,-2,-2,1,2,,,,,3,,,,,,,,,,,,,,1,2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1,planting good seeds to get good products from tea,1,i start up a retail shop,1,-2,-2,-2,-2,-2,,100000,1,7,5,it has grown now its much biger,"['radio batteries', 'telephone']"
11,23969391,0.693958599,30.49137907,1,2,3,-2,-2,-2,,5,100,0,0,5,5.4m,300,300per kg,1,2,5,4,1,5,,,,2,4,2,,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,-2,-2,-2,-2,1,,,,,,,,,,,,,,,,,,,,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,2,,2,,,,,,,,,,,,,,['farm costs']
12,23969392,0.70076046,30.48560096,1,2,3,-2,-2,-2,,5,100,0,0,5,1.8m,300,300per kg,2,5,5,4,1,5,,,,2,4,1,1.08m,,,1.08m,,,,,,,,,,,,,-1,-1,-1,-1,1,2,-2,-2,-2,1,2,,,,,,,,,,,,,,,,,,,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NO,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,Non,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,Non,2,,2,,,,,,,,,,,,,,['livestock']
13,23969393,0.720041271,30.48830973,2,3,4,-2,-2,-2,,5,100,0,0,5,720000,300,300per kg,2,4,5,4,1,5,,,,1,2,2,,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,-2,-2,-2,-2,1,,,,,,,,,,,,,,,,,,,,1,2,4,7,12,-2,-2,-2,-2,-2,-2,-2,-2,,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NON,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NO,2,,2,,,,,,,,,,,,,,['water']
14,23969394,0.713854698,30.4966991,2,6,-2,-2,-2,-2,improving my farm,5,100,0,0,5,1.44m,300,300sh per kg,2,4,3,2,1,5,500000,5000per bunch,5000,1,3,1,Home use,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,3,-2,-2,-2,2,,1,,,,,,,,,,,,,,,,,,1,7,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,No,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1,Planting of trees,2,,,,,,,,,,,,,,['farm costs']
15,23969395,0.713744217,30.49679464,1,2,4,6,-2,-2,pay workers,5,100,0,0,5,7.2m,300,300per kg,1,2,5,4,1,5,200,2000per kg,2000per kg,1,4,1,Home use,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,2,-2,-2,-2,1,2,,,,,,,,,,,,,,,,,,,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,Non,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,Non,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,Non,2,,2,,,,,,,,,,,,,,['investment']
16,23969396,0.718279955,30.51660363,2,6,-2,-2,-2,-2,house hold requirmentd,5,100,0,0,5,14.4m,300,300per kg,2,5,5,4,1,1,,,,1,4,1,Home use,Home use,,,,,,,,,,,,,,,-1,-1,-1,-1,1,-2,-2,-2,-2,1,,,,,,,,,,,,,,,,,,,,1,2,4,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,,4,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1,water halls,1,i started a small retail shop,1,-2,-2,-2,-2,-2,,"100,000",1,3,4,i save some money out of it,['farm costs']
17,23969397,0.70762935,30.51318542,1,2,3,4,-2,-2,,5,100,0,0,5,2.5m,300,300per kg,1,2,5,5,1,1,,,,1,3,1,,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,14,-2,-2,-2,1,,,,,,,,,,,,,2,,,,,,,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,Non,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,Non,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,Non,2,,1,started a small business,1,-2,-2,-2,-2,-2,,1m,2,1,1,high coasts of school fees,['farm costs']
18,23969398,0.747487009,30.53699259,1,2,6,-2,-2,-2,Invest it in trading,5,100,0,0,5,3.6m,300,300per kg,2,4,2,2,1,5,1.2m,500per banch,5000per banch,1,3,1,Home use,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,3,-2,-2,-2,1,,2,,,,,,,,,,,,,,,,,,7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,No,7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1,i prun my tea,2,,,,,,,,,,,,,,['farm costs']
19,23969399,0.747477576,30.53691723,1,2,-2,-2,-2,-2,,5,100,0,0,5,1.4m,300,300per kg,2,4,5,5,4,5,,,,2,3,2,,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,-2,-2,-2,-2,1,,,,,,,,,,,,,,,,,,,,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,mulching,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,mulching,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,mulching,1,i mulch mt banana plantation,2,,,,,,,,,,,,,,['farm costs']
20,23969400,0.749910713,30.53650013,1,2,6,-2,-2,-2,ivestments,5,100,0,0,5,7.2m,300,300 per kg,2,4,5,4,1,1,,,,1,3,2,,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,4,-2,-2,-2,1,,,2,,,,,,,,,,,,,,,,,4,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,non,4,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1,Water manegment,2,,,,,,,,,,,,,,['helping others']
21,23969401,0.750066109,30.54701186,1,2,3,4,-2,-2,,5,100,0,0,5,2.5m,300,300per kg,2,5,5,4,1,1,,,,1,2,1,Home use,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,-2,-2,-2,-2,1,,,,,,,,,,,,,,,,,,,,4,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,4,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,4,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1,Mulching and soil conservation,2,,,,,,,,,,,,,,['investment']
22,23969402,0.752481017,30.54453888,1,2,3,4,5,-2,,5,100,0,0,5,1.4m,300,300per kg,2,5,5,4,1,1,,,,2,4,1,Home use,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,3,6,-2,-2,1,,2,,,3,,,,,,,,,,,,,,,4,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,No,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,2,,2,,,,,,,,,,,,,,['wages']
23,23969403,0.751860961,30.5490877,1,2,4,-2,-2,-2,,5,100,0,0,5,1.8m,300,300 per kg,2,4,4,5,4,1,30000,2500,2500,1,2,1,,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,2,3,20,-2,1,2,4,,,,,,,,,,,,,,,,,tree planting,2,4,5,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,,2,4,5,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,2,3,4,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1,soil manegment,2,,,,,,,,,,,,,,"['children', 'family']"
24,23969405,0.766411565,30.5800314,1,2,3,-2,-2,-2,,5,100,0,0,5,6.1m,300,300per kg,2,3,3,1,1,1,6m,5000,5000,1,2,1,,,,,,,,,,,,,7000,10,70,70000,-1,-1,-1,-1,1,3,-2,-2,-2,1,,2,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,-2,-2,-2,-2,-2,,3,4,5,6,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,,3,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1,water manegment,2,,,,,,,,,,,,,,['land purchase']
25,23992073,,,2,3,4,6,-2,-2,"telephone,radio batteries",5,70,0,0,1,"2,000,000",2500,"300,000",1,1,3,3,2,3,"400,000",1000 kgs,150000,2,5,1,,,,,0,0,0,0,0,"200,000","200,000",200000,15000,1,15,15000,-1,-1,-1,-1,2,3,6,9,17,,1,5,,,4,,,3,,,,,,,,2,,,,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1,"mulching,i used organic manure",2,,,,,,,,,,,,,,['land purchase']
26,23992074,-0.960468652,30.34496971,1,2,3,4,6,-2,looking after the farm,5,60,0,0,1,"2,000,000",2300,"500,000",1,1,2,2,1,1,"400,000",1000,"300,000",1,1,1,,,,,300000,3,100000,300000,,,,,,,,,-1,-1,-1,-1,2,3,6,16,20,,1,2,,,3,,,,,,,,,,4,,,,ground nuts (5),1,2,7,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,mulching,1,7,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,adding manure,1,7,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1,"In coffee we were taught to plant trees and also mulch.
we also keep gabbage and put in the plantations",2,,,,,,,,,,,,,,['wages']
27,23992075,-0.960458322,30.34501118,1,2,3,4,-2,-2,,5,2000,0,0,5,"5,000,000",2500,"1,000,000",1,2,5,4,1,1,0,0,"100,000",1,2,1,,,,,0,0,0,0,,,,,,,,,-1,-1,-1,-1,2,3,-2,-2,-2,,1,2,,,,,,,,,,,,,,,,,,3,4,10,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,"Spacing, mulching, tree shade, organic manure",1,3,4,8,11,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1,3,8,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,"spacing, mulching",2,,2,,,,,,,,,,,,,,['wages']
28,23992076,-0.809396303,30.24264022,1,2,3,4,6,-2,Medicine for animals,5,100,0,0,5,"800,000",2500,"500,000",1,1,3,2,2,1,"800,000",1600,"600,000",2,4,1,"3,000,000",4,"950,000","3,000,000",300000,2,150000,300000,,,,,,,,,-1,-1,-1,-1,2,6,18,20,-2,,2,,,,3,,,,,,,,,,,,1,,4. Onions...5.Irish potatoes,1,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1,Planting in time.,2,,,,,,,,,,,,,,['water']
29,23992077,-0.472698897,30.27656575,1,2,3,4,5,6,water,5,100,0,0,5,"3,000,000",2500,"2,000,000",1,1,2,2,1,1,"300,000",1500,"150,000",2,5,1,,,,,500000,4,120000,500000,,,,,100000,5,20,100000,-1,-1,-1,-1,2,3,6,16,19,,1,2,,,4,,,,,,,,,,3,,,5,,5,7,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"mulching,creating trenches for water",7,8,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"mulching, making trenches",7,8,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,mulching,1,"They taught us not to spray coffee with pesticides.
Removing polythen bags and plastic bottles from my farm and burning them",1,Whole selling dried produce like beans,5,-2,-2,-2,-2,-2,,"500,000",1,2,4,price fluctuation hence leading to low profits,['livestock']
